Model;File;Language;Time (s);Transcription;Original;WER;CER;SER
base;Audio_8.m4a;pl;0.48;Poproszę tmaczy z borgary, z arzonkoda i do tego frytki. Obołem mówię za to dostarację, jest po prostu niesamowita.;Poproszę dwa cheeseburgery, dużą cole i do tego frytki. Ogółem uwielbiam tę restaurację jest po prostu niesamowita.;58.82;29.57;100.0
base;Audio_9.m4a;pl;1.39;To przyrzekam ci, że przycę, że jak to odpowiada z pierwszym razem, słuchawki zaczęły mi burczeć, zepsywsy robić i pojawił się cem, który się zaczął wypełniać przyklętymi z takami, że to jest zapytania, a takie widać było. I się sam kton się pojawiła teraz krypcja. Obiec co jeść, że tak było? No nie masz, co wymyśli oczeskoje. Nie, naprawdę, nasi pokazywam cię jak rado. To po co?;Przysięgam ci, że jak to zrobiłem za pierwszym razem. Słuchawki zaczęły mi burczeć, bzz, bzz, bzz, bzz robić i pojawił się, cmdek, który się zaczął wypełniać, wiesz, przeklętymi znakami. Wiesz, tam z napytania takie widać było. Niemożliwe. I się zamknął. I się pojawiła transkrypcja. Obiecuję ci, że tak było. No nie ma szans. Wymyśliłeś sobie. Nie no, prawda. Inaczej nie pokazywał ci ekranu. No po co?;68.18;35.48;100.0
base;Audio_1_1.m4a;pl;2.35;Poronak nad odrąbychłodnej cichy, a pierwsze promienie słońca nie śmiało przydzierały się przez mgłę, umnoszącą się nad parką szczyt Mickim, by rozwawiam. Po wierszy pachniało wybrotną ziemią i świeżo skożoną trawą z alej i przy unicy Mickiewicza. Ludzie spieszyli się do pracy. Anka, skupkiem kawy, skawieranki u Wasi, to mech z oczami wlepanymi w ekran telefonu pilnując, pyzdożysz na tramę i linii dziewięć. Na ławcą pod starym demłem, zwanym okolprzyzokolicznych demłem i jełły, siedział Pan Marionkowski, który karmił gołębie tak, jak robił to każdego dnia od wielu lat. Patrz on na przychodniu z lekim uśmiechem, ja by się wiedział coś, czego oni jeszcze nie odkryli.;Poranek nad Odrą był chłodny i cichy, a pierwsze promienie słońca nieśmiało przedzierały się przez mgłę unoszącą się nad Parkiem Szczytnickim we Wrocławiu. Powietrze pachniało wilgotną ziemią i świeżo skoszoną trawą z alei przy ul. Mickiewicza. Ludzie spieszyli się do pracy — Anka z kubkiem kawy z „Kawiarenki u Basi”, Tomek z oczami wlepionymi w ekran telefonu, pilnując, by zdążyć na tramwaj linii 9. Na ławce pod starym dębem, zwanym przez okolicznych „Dębem Jagiełły”, siedział pan Marian Kowalski, który karmił gołębie tak, jak robił to każdego dnia od wielu lat. Patrzył na przechodniów z lekkim uśmiechem, jakby wiedział coś, czego oni jeszcze nie odkryli.;53.85;17.62;100.0
base;Audio_2_1.m4a;pl;0.69;Hej, hej, hej! Słyszyż mnie? Halo! Głaszna gra muzyka i nie wiem, czym jest słuchacz, ale jak coś to nie będzie mnie jutro na wykładzie. Daj znać jutro, jak tam.;Ej,ej , eeeeeeeeeeeeeeeeeeejjjjjjjjjjjjjjjjjjjjjjj, słyszysz mnie? HALLLLLOOOOOOOOOO Głośno gra muzyka i nie wiem czy mnie słychać ale jak coś to nie będzie mnie jutro na wykładzie. Daj znać jutro jak tam;40.0;38.73;100.0
base;Audio_3_1.m4a;pl;1.42;Dzisiaj rano prawie zaspałem, bo budzi się nie włączył. Wstałem w pośpiechu, zrobiłem sobie szybką kawę i zorientowałem się, że nie mam leka, więc myślałem pitt czarną. Na szczęście autowo zmieniło się jak, ale był tak zatłoczony, że przez całą drogę stałem z plecakiem wciśniętym między drzwi, a jakiegoś gościa z wielkimi słuchawkami. W pracy od razu zaczęły się mail i spotkania, więc zanim się obieżę, minęło południe.;Dzisiaj rano prawie zaspałem, bo budzik się nie włączył. Wstałem w pośpiechu, zrobiłem sobie szybką kawę i zorientowałem się, że nie mam mleka, więc musiałem pić czarną. Na szczęście autobus mi nie uciekł, ale był tak zatłoczony, że przez całą drogę stałem z plecakiem wciśniętym między drzwi a jakiegoś gościa z wielkimi słuchawkami. W pracy od razu zaczęły się maile i spotkania, więc zanim się obejrzałem, minęło południe.;16.18;7.29;100.0
base;Audio_8_1.m4a;pl;0.48;Poproszę dwa czy z brugery, dorząkolla i do tego frytki. Ogłan uwielbiał tę restaurację z po prostu niesamowita.;Poproszę dwa cheeseburgery, dużą cole i do tego frytki. Ogółem uwielbiam tę restaurację jest po prostu niesamowita.;41.18;19.13;100.0
base;Audio_6_1.m4a;pl;0.85;Wstałem za późne kawaś się skończyła, telefon le dzwo żyje, autobus oczywiście ucieku. W pracy już czekał szczew, zmieniamyby zaraz my wybuchnąć, więc netnie zdarzyłem usiąść. Zrubiająco trzeba, wszystko byle mieści w sztu zgłowę.;Wstałem za późno, kawa się skończyła, telefon ledwo żyje, a autobus oczywiście uciekł. W pracy już czekał szef z miną jakby zaraz miał wybuchnąć, więc nawet nie zdążyłem usiąść. Zrobiłem, co trzeba, wszystko byle mieć to już z głowy.;53.85;19.31;100.0
base;Audio_7_1.m4a;pl;0.83;Zgubiłem kluczym, potem jest znazam w kurs, co jak w ogóle nie planowałem zakładać. Laptop się zaksolizowni gorszym, bo będzie, ja odbyt przypaliłem, bo skrólowałem mę. Dzień jak co dzień, ale byla do wieczorem.;Zgubiłem klucze, potem je znalazłem w kurtce, której w ogóle nie planowałem zakładać. Laptop się zaktualizował w najgorszym momencie, a obiad przypaliłem, bo scrollowałem memy. Dzień jak co dzień ale byle do wieczora;51.52;23.15;100.0
base;Audio_4_1.m4a;pl;0.9;Wczoraj po pracy poszedłem z ekipą napidcą, bo wszyscy mieli już dość siedzenia przed komputerem. Pogadaliśmy o różnych rzeczach. Trochę o projektach, trochę o planach na weekend. Fajnie było się pośmiać i o detchnąć od codziennego stresu.;Wczoraj po pracy poszedłem z ekipą na pizzę, bo wszyscy mieli już dość siedzenia przed komputerem. Pogadaliśmy o różnych rzeczach — trochę o projektach, trochę o planach na weekend. Fajnie było się pośmiać i odetchnąć od codziennego stresu. Potem wróciłem do domu, odpaliłem serial i zanim się zorientowałem, była już prawie północ.;40.38;30.12;100.0
base;Audio_5_1.m4a;pl;1.31;Od rena nic mi nie szło. Kawa się rozlała. Pendrech z prezentacją znikną, a internet działy, jakby nazłość. Mimo to jakoś udało się wszystko ogarnąć przez podkaniu. Po południu w końcu złapałem trochę lózu i poszedł na spacer.;Od rana nic mi nie szło. Kawa się rozlała, pendrive z prezentacją zniknął, a internet działał jakby na złość. Mimo to jakoś udało się wszystko ogarnąć przed spotkaniem. Po południu w końcu złapałem trochę luzu i poszedłem na spacer. Świeże powietrze i muzyka w słuchawkach od razu poprawiły mi humor.;44.0;28.67;100.0
medium;Audio_1.m4a;pl;7.18;Poranek nad Odlą był chłodny i ciche, a pierwsze promienie słońca nieśmiało przedzielały się przez mgłę unoszącą się nad parkiem szczytnickim w Rosasawiu. Powietrze pachniało wirgotną ziemią i świeżo skoszono trawą z alei przy ulicy Miskiewicza. Ludzie spieszyli się do pracy. Anka z kubkiem kawy z kawiarenki u Wasi, Tomek z oczami wypełnieniem ekran telefonu, pilnując, by zdążyć na znowu linii 9. Na ławce pod staden dębem, zwanym przez okolicznych dębem Jagiełły, siedział pan Marian Kowalski, który karmi głębie, tak jak robił to każdego dnia od wielu lat. Paszył na przechodniu z lekkim uśmiechem, aby wiedział coś, czego oni jeszcze nie odgryli.;Poranek nad Odrą był chłodny i cichy, a pierwsze promienie słońca nieśmiało przedzierały się przez mgłę unoszącą się nad Parkiem Szczytnickim we Wrocławiu. Powietrze pachniało wilgotną ziemią i świeżo skoszoną trawą z alei przy ul. Mickiewicza. Ludzie spieszyli się do pracy — Anka z kubkiem kawy z „Kawiarenki u Basi”, Tomek z oczami wlepionymi w ekran telefonu, pilnując, by zdążyć na tramwaj linii 9. Na ławce pod starym dębem, zwanym przez okolicznych „Dębem Jagiełły”, siedział pan Marian Kowalski, który karmił gołębie tak, jak robił to każdego dnia od wielu lat. Patrzył na przechodniów z lekkim uśmiechem, jakby wiedział coś, czego oni jeszcze nie odkryli.;26.92;8.28;100.0
medium;Audio_10.m4a;pl;3.29;Można w tej rozmowie już nagrywać, będzie można zaraz coś wyciąć i... Wygeneruj przykład ludzkiego tekstu tak 1 a kapi. Poranek był chłodny i cichy, a pierwsze promienie słońca nieśmiało przedzierało się przez mgłę unoszącą się nad parkiem. Powietrze pachniało wirgotną zimą i świeżo skoczało.;Może z tej rozmowy, którą już nagrywać będzie można zaraz coś wyciąć i. Wygeneruj na przykład ludzkiego tekstu tak dwa, nie, tak jeden akapit. Poranek był chłodny i cichy, a pierwsze promienie słońca nieśmiało przedzierały się przez mgłę unoszącą się nad parkiem. Powietrze pachniało wilgotną zimą i świeżo. Czemu się śmiejesz przy tym?;37.74;19.35;100.0
medium;Audio_11.m4a;pl;8.08;Ona była harcerska głównie z nazwy, ale po prostu harcerstwo miało wtedy przody, w związku z tym wydziadowało od wojska jakąś rozgłośnie, która służyła do zagłuszania wolnej Europy, jakąś radiostację, prawda, i amatorsko tam zrobili. A charakteryzowało się to tym, że troszkę nadawali wiadomości harcerskich, ZHP, a trochę muzyki, jak się wtedy mówiło Big Beatu, o którym się w Polsce słyszało. Dopiero się pojawiały kasety, nie znam jakie kasety, winyle jakieś pojedyncze, i to jak ktoś miał rodziców, którzy przywozili mu z zagranicy Presley, dopiero zaczynał karierę i tak dalej. No i zupełnym przypadkiem w tej rozgłośni wziąłem, że tak powiem, udział. Mianowicie praktykantka, która miała tam w szkole lekcje, powiedziała Tomuś powiedz gościom wierszyk, Tomuś powiedział wierszyk, powiedziała bardzo fajnie mówisz, to przyjdziesz do nas, no i tak się zaczęło. Oczywiście...;"Ona była harcerska głównie z nazwy, ale po prostu harcerstwo miało wtedy przody. W związku z tym wydziadowało od wojska jakąś rozgłośnię, która służyła do zagłuszania Wolnej Europy, jakąś radiostację, prawda? I amatorsko tam zrobili. A charakteryzowało się to tym, że troszkę nadawali wiadomości harcerskich ZHP, a trochę muzyki, jak się wtedy mówiło big bitu, o którym się w Polsce słyszało. Dopiero się pojawiały kase-- nie trzeba tam jakie kasety, winyle jakieś pojedyncze i to jak ktoś miał rodziców, którzy przywozili mu zza granicy. Presley dopiero zaczynał karierę i tak dalej. No i zupełnym przypadkiem w tej rozgłośni wziąłem, że tak powiem, udział. Mianowicie praktykantka, która miała tam w szkole lekcje, powiedziała: ""Tomuś, powiedz gościom wierszyk"". Tomuś powiedział wierszyk. Powiedziała: ""bardzo fajnie mówisz, to przyjdź do nas"". No i tak się zaczęło, yyy, oczywiście.";20.9;5.87;100.0
medium;Audio_12.m4a;pl;2.62;Ładna. No, no. Wczoraj odebrałem. Ładny odcinek. Kość. Czcionka Cillin Rail. To jeszcze nic. Popatrz. Ta jest naprawdę piękna. Skorupka jaja. Czcionka Romelian. I jak? Ładna.;Nowa wizytówka i jak? Ładnaaa, no no. Wczoraj odebrałem. Ładny odcień. Kość. Czcionka Silian Rail. To jeszcze nic, popatrz. Ta jest naprawdę piękna, skorupka jaja, czcionka Romalian i jak? Ładna;56.67;21.65;171.43
medium;Audio_2.m4a;pl;1.77;Ej, ej, ej, słyszysz mnie? Halo? Głosznego muzyka, nie wiem czy mnie słychać, ale jak coś to nie będzie miłym w tym wykładzie, to jest nasz uto jak tam.;Ej,ej , eeeeeeeeeeeeeeeeeeejjjjjjjjjjjjjjjjjjjjjjj, słyszysz mnie? HALLLLLOOOOOOOOOO Głośno gra muzyka i nie wiem czy mnie słychać ale jak coś to nie będzie mnie jutro na wykładzie. Daj znać jutro jak tam;60.0;44.61;100.0
medium;Audio_3.m4a;pl;4.39;Dzisiaj noc na sprawie bo budzik się nie włączył, wstałem w pospiechu, zrobiłem sobie szybką kawę i zorientowałem się, że nie mam mleka, więc musiałem pić czarną. Na szczęście autobus mi nie uciekł, ale był tak zatłoczony, że przez całą drogę stałem z pysakiem wciśniętym między drzwiach i ożegosztia z wielkimi sukawkami. W prasę od razu zaczęło się maile i spotkanie, więc zanim się obejrzałem minęło południe.;Dzisiaj rano prawie zaspałem, bo budzik się nie włączył. Wstałem w pośpiechu, zrobiłem sobie szybką kawę i zorientowałem się, że nie mam mleka, więc musiałem pić czarną. Na szczęście autobus mi nie uciekł, ale był tak zatłoczony, że przez całą drogę stałem z plecakiem wciśniętym między drzwi a jakiegoś gościa z wielkimi słuchawkami. W pracy od razu zaczęły się maile i spotkania, więc zanim się obejrzałem, minęło południe.;23.53;9.65;100.0
medium;Audio_4.m4a;pl;2.57;Wczoraj po pracy poszedłem z ekipą na pitce, bo wszyscy mieli już dość siedzenia przed komputerem. Pogadaliśmy o różnych rzeczach. Trochę o projektach, trochę o planach na weekend. Fajnie było się pośmiać i odetknąć od codziennego stresu.;Wczoraj po pracy poszedłem z ekipą na pizzę, bo wszyscy mieli już dość siedzenia przed komputerem. Pogadaliśmy o różnych rzeczach — trochę o projektach, trochę o planach na weekend. Fajnie było się pośmiać i odetchnąć od codziennego stresu. Potem wróciłem do domu, odpaliłem serial i zanim się zorientowałem, była już prawie północ.;36.54;30.12;100.0
medium;Audio_5.m4a;pl;2.45;Od rana nic mi nie szło. Kawa się rozlała, pendlar z prezentacją zniknął, a internet działał jakby na złość. Mimo to jakoś udało się wszystko ogarnąć przed spotkaniem. Po południu w końcu złapałem trochę luzu i poszedłem na spacer.;Od rana nic mi nie szło. Kawa się rozlała, pendrive z prezentacją zniknął, a internet działał jakby na złość. Mimo to jakoś udało się wszystko ogarnąć przed spotkaniem. Po południu w końcu złapałem trochę luzu i poszedłem na spacer. Świeże powietrze i muzyka w słuchawkach od razu poprawiły mi humor.;24.0;24.0;40.0
medium;Audio_6.m4a;pl;2.44;Wstanę za późno, kawa się skończyła, telefon nerwa żyje, autobus rzeczywiście uciekł. W pracy już czekał szef z miną, jakby zaraz miał wybuchnąć, więc nawet nie zdążyłem usiąść. Zrobiłem co trzeba, wszystko byłem mieć do jej z głowy.;Wstałem za późno, kawa się skończyła, telefon ledwo żyje, a autobus oczywiście uciekł. W pracy już czekał szef z miną jakby zaraz miał wybuchnąć, więc nawet nie zdążyłem usiąść. Zrobiłem, co trzeba, wszystko byle mieć to już z głowy.;23.08;7.73;100.0
medium;Audio_7.m4a;pl;2.32;Skupiłem klucze, potem jest nazwę w kurce, której w ogóle nie planowałem zakładać, dla to się zaktualizował w najgorszym momencie, owietr przypaliłem, bo oskorowałem memy. Dzień jak codzien, ale tyle do wieczora.;Zgubiłem klucze, potem je znalazłem w kurtce, której w ogóle nie planowałem zakładać. Laptop się zaktualizował w najgorszym momencie, a obiad przypaliłem, bo scrollowałem memy. Dzień jak co dzień ale byle do wieczora;42.42;15.28;100.0
medium;Audio_8.m4a;pl;1.31;Poproszę dwa cheeseburgery, z dużą kole i do tego frutki. Ogólnie mówię, że na tą restaurację jest po prostu niesamowita.;Poproszę dwa cheeseburgery, dużą cole i do tego frytki. Ogółem uwielbiam tę restaurację jest po prostu niesamowita.;47.06;16.52;100.0
medium;Audio_9.m4a;pl;4.59;To przyrzekam Ci, że jak to odpaliłem za pierwszym razem, słuchawki zaczęły mi burczeć, bzbzbzbzbz robić i pojawił się cmdek, który się zaczął wypełniać przykrętymi znakami, z napytaniem, na takie widać było. Niemożliwe. I się zamknął, się pojawiła transkrypcja. Obiecuję Ci, że tak było. No nie ma szans, wymyśliłeś swoje. Nie, naprawdę, inaczej bym nie pokazywał Ci jak radą. No po co?;Przysięgam ci, że jak to zrobiłem za pierwszym razem. Słuchawki zaczęły mi burczeć, bzz, bzz, bzz, bzz robić i pojawił się, cmdek, który się zaczął wypełniać, wiesz, przeklętymi znakami. Wiesz, tam z napytania takie widać było. Niemożliwe. I się zamknął. I się pojawiła transkrypcja. Obiecuję ci, że tak było. No nie ma szans. Wymyśliłeś sobie. Nie no, prawda. Inaczej nie pokazywał ci ekranu. No po co?;48.48;19.6;100.0
medium;Audio_1_1.m4a;pl;7.15;Poranek nad Odrą był chłodny i cichy, a pierwsze promienie słońca nieśmiało przedzierały się przez mgłę unoszącą się nad Parkiem Szczytmickim we Wrocławiu. Powietrze pachniało wilgotną ziemią i świeżo skoszoną trawą z alei przy ulicy Mickiewicza. Ludzie spieszyli się do pracy. Anka z kubkiem kawy, z kawieręki u Basi, Tomek z oczami wlepionymi w ekran telefonu pilnując, by zdążyć na tramę i linii 9. Na ławcom pod starym dębem, zwanym przez okolicznych Dębem Jagiełły siedział pan Marian Kowalski, który karmił gołębie tak, jak robił to każdego dnia od wielu lat. Patrzą na przechodniu z lekkim uśmiechem, jakbyś wiedział coś, czego oni jeszcze nie odkryli.;Poranek nad Odrą był chłodny i cichy, a pierwsze promienie słońca nieśmiało przedzierały się przez mgłę unoszącą się nad Parkiem Szczytnickim we Wrocławiu. Powietrze pachniało wilgotną ziemią i świeżo skoszoną trawą z alei przy ul. Mickiewicza. Ludzie spieszyli się do pracy — Anka z kubkiem kawy z „Kawiarenki u Basi”, Tomek z oczami wlepionymi w ekran telefonu, pilnując, by zdążyć na tramwaj linii 9. Na ławce pod starym dębem, zwanym przez okolicznych „Dębem Jagiełły”, siedział pan Marian Kowalski, który karmił gołębie tak, jak robił to każdego dnia od wielu lat. Patrzył na przechodniów z lekkim uśmiechem, jakby wiedział coś, czego oni jeszcze nie odkryli.;15.38;4.07;100.0
medium;Audio_2_1.m4a;pl;1.71;Ej, ej, ej, słyszysz mnie? Halo! Głośna gra muzyka i nie wiem czy mnie słychać, ale jak coś to nie będzie mnie jutro na wykładzie. Daj znać jutro jak tam.;Ej,ej , eeeeeeeeeeeeeeeeeeejjjjjjjjjjjjjjjjjjjjjjj, słyszysz mnie? HALLLLLOOOOOOOOOO Głośno gra muzyka i nie wiem czy mnie słychać ale jak coś to nie będzie mnie jutro na wykładzie. Daj znać jutro jak tam;23.33;29.9;50.0
medium;Audio_3_1.m4a;pl;4.98;Dzisiaj rano prawie zaspałem, bo budzik się nie włączył. Wstałem w pośpiechu, zrobiłem sobie szybką kawę i zorientowałem się, że nie mam mleka, więc musiałem pić czarną. Na szczęście autobus mi nie uciekł, ale był tak zatłoczony, że przez całą drogę stałem z plecakiem wciśniętym między drzwi, a jakiegoś gościa z wielkimi słuchawkami. W pracy od razu zaczęły się maile i spotkania, więc zanim się obejrzałem, minęło południe.;Dzisiaj rano prawie zaspałem, bo budzik się nie włączył. Wstałem w pośpiechu, zrobiłem sobie szybką kawę i zorientowałem się, że nie mam mleka, więc musiałem pić czarną. Na szczęście autobus mi nie uciekł, ale był tak zatłoczony, że przez całą drogę stałem z plecakiem wciśniętym między drzwi a jakiegoś gościa z wielkimi słuchawkami. W pracy od razu zaczęły się maile i spotkania, więc zanim się obejrzałem, minęło południe.;1.47;0.24;25.0
medium;Audio_8_1.m4a;pl;1.67;Poproszę dwa cheeseburgery, dużą colę i do tego frytki. Ogółem uwielbiam tę restaurację, jest po prostu niesamowita.;Poproszę dwa cheeseburgery, dużą cole i do tego frytki. Ogółem uwielbiam tę restaurację jest po prostu niesamowita.;11.76;1.74;100.0
medium;Audio_6_1.m4a;pl;2.93;Wstałem za późno, kawa się skończyła, telefon ledwo żyje, a autobus oczywiście uciekł. W pracy już czekał szef zmieniony, bo zaraz miał wybuchnąć, więc nawet nie zdążyłem usiąść. Zrobiłem co trzeba, wszystko byle mieć już to z głowy.;Wstałem za późno, kawa się skończyła, telefon ledwo żyje, a autobus oczywiście uciekł. W pracy już czekał szef z miną jakby zaraz miał wybuchnąć, więc nawet nie zdążyłem usiąść. Zrobiłem, co trzeba, wszystko byle mieć to już z głowy.;15.38;6.87;66.67
